Participant,IT1,IT2,Key,rubric,accuracy,RT
14,t,t,m,1,1,5.194
14,g,g,m,1,1,4.385
14,h,h,m,1,1,4.478
14,k,k,m,1,1,4.349
14,t,t,m,1,1,3.819
14,p,p,m,1,1,4.716
14,v,v,m,1,1,5.449
14,c,c,m,1,1,4.043
14,x,x,m,1,1,6.237
14,u,p,n,0,1,5.217
14,e,t,n,0,1,5.131
14,x,d,n,0,1,5.244
14,z,z,m,1,1,5.82
14,f,f,m,1,1,5.6
14,l,l,m,1,1,5.666
14,x,x,m,1,1,4.528
14,l,p,n,0,1,4.499
14,w,y,m,0,0,4.478
14,n,n,m,1,1,5.292
14,y,d,n,0,1,5.348
14,o,c,n,0,1,5.076
14,o,w,n,0,1,5.036
14,w,w,n,1,0,5.18
14,i,i,m,1,1,3.967
14,g,e,n,0,1,6.052
14,a,a,m,1,1,4.344
14,t,t,m,1,1,5.345
14,g,s,n,0,1,6.563
14,j,t,n,0,1,7.929
14,o,o,m,1,1,5.323
14,b,b,n,1,0,6.936
14,v,e,n,0,1,8.422
14,e,v,n,0,1,6.755
14,s,n,n,0,1,6.156
14,b,c,n,0,1,4.356
14,m,m,n,1,0,5.359
14,v,v,m,1,1,4.947
14,o,o,m,1,1,4.821
14,i,r,n,0,1,3.515
14,p,p,m,1,1,5.001
14,k,l,n,0,1,4.972
14,o,f,n,0,1,4.475
14,p,z,n,0,1,3.715
14,z,z,m,1,1,5.036
14,l,l,m,1,1,3.851
14,u,h,m,0,0,4.668
14,m,m,m,1,1,5.236
14,x,x,n,1,0,8.841
14,l,j,m,0,0,5.381
14,u,u,m,1,1,4.866
14,y,y,m,1,1,4.72
14,n,f,n,0,1,5.1
14,s,s,m,1,1,4.746
14,d,d,m,1,1,4.741
14,w,l,n,0,1,5.766
14,i,h,n,0,1,5.099
14,r,y,n,0,1,5.486
14,a,a,m,1,1,4.771
14,w,w,m,1,1,5.612
14,n,x,m,0,0,6.339
14,o,o,m,1,1,6.7
14,h,h,m,1,1,5.518
14,b,b,m,1,1,4.627
14,p,p,m,1,1,4.418
14,c,c,m,1,1,3.799
14,o,o,n,1,0,6.051
14,z,z,m,1,1,5.044
14,c,c,m,1,1,4.487
14,r,f,m,0,0,5.132
14,e,e,m,1,1,4.203
14,h,n,n,0,1,4.513
14,e,l,n,0,1,4.17
14,h,h,m,1,1,5.407
14,i,n,n,0,1,4.187
14,b,g,n,0,1,3.797
14,x,x,m,1,1,4.327
14,x,q,n,0,1,5.344
14,i,i,m,1,1,3.993
14,k,k,m,1,1,3.507
14,v,p,n,0,1,4.894
14,n,m,m,0,0,5.578
14,u,u,m,1,1,5.028
14,m,u,n,0,1,4.443
14,d,d,m,1,1,4.235
14,g,g,m,1,1,4.652
14,s,s,m,1,1,4.798
14,p,p,m,1,1,4.097
14,e,m,n,0,1,4.336
14,l,r,n,0,1,3.387
14,p,i,n,0,1,5.235
14,y,o,m,0,0,5.733
14,t,f,m,0,0,5.559
14,d,z,n,0,1,4.671
14,z,r,m,0,0,6.415
14,m,m,n,1,0,7.152
14,i,i,m,1,1,3.624
14,y,y,m,1,1,4.852
14,b,b,m,1,1,3.717
14,n,n,m,1,1,5.166
14,m,a,n,0,1,4.349
14,b,b,m,1,1,4.124
14,s,g,n,0,1,5.609
14,d,d,n,1,0,4.78
14,o,p,n,0,1,8.051
14,u,u,m,1,1,5.991
14,j,q,n,0,1,4.945
14,s,s,n,1,0,4.597
14,g,x,n,0,1,7.097
14,i,t,n,0,1,4.043
14,d,d,m,1,1,4.972
14,j,u,n,0,1,5.363
14,t,t,m,1,1,5.961
14,u,m,m,0,0,5.949
14,m,p,m,0,0,4.785
14,j,j,m,1,1,5.425
14,p,p,m,1,1,4.18
14,w,a,n,0,1,4.763
14,i,u,n,0,1,4.225
14,i,j,m,0,0,3.909
14,w,q,m,0,0,8.004
14,a,m,n,0,1,3.292
14,r,r,m,1,1,5.86
14,l,l,m,1,1,4.692
14,m,o,m,0,0,4.053
14,r,r,m,1,1,6.616
14,h,h,m,1,1,4.497
14,u,t,n,0,1,6.484
14,q,x,n,0,1,5.243
14,f,f,m,1,1,4.5
14,q,l,n,0,1,6.888
14,n,e,n,0,1,6.636
14,w,g,m,0,0,4.643
14,r,u,m,0,0,4.537
14,u,e,n,0,1,5.495
14,a,p,n,0,1,4.297
14,l,k,m,0,0,4.504
14,f,m,n,0,1,3.646
14,a,a,m,1,1,3.109
14,k,m,n,0,1,4.428
14,y,y,m,1,1,4.357
14,e,k,n,0,1,5.691
14,w,w,m,1,1,5.209
14,g,g,m,1,1,4.693
14,r,r,n,1,0,7.588
14,u,i,n,0,1,5.154
14,c,l,n,0,1,3.661
14,e,e,m,1,1,4.121
14,s,v,n,0,1,4.518
14,f,f,m,1,1,5.331
14,x,c,n,0,1,4.795
14,c,s,n,0,1,4.124
14,c,m,n,0,1,4.344
14,u,u,m,1,1,4.554
14,a,a,m,1,1,3.433
14,k,d,n,0,1,3.985
14,k,n,n,0,1,4.489
14,m,m,m,1,1,4.631
14,k,k,m,1,1,4.828
14,q,q,m,1,1,5.369
14,v,a,n,0,1,5.196
14,h,h,m,1,1,5.153
14,m,q,n,0,1,3.876
14,v,x,n,0,1,4.481
14,q,q,m,1,1,5.115
14,k,z,n,0,1,4.943
14,x,o,m,0,0,3.401
14,g,g,m,1,1,3.811
14,s,f,m,0,0,5.053
14,h,x,n,0,1,3.627
14,s,s,m,1,1,3.631
14,r,r,m,1,1,4.182
14,e,e,m,1,1,3.868
14,w,w,m,1,1,4.128
14,h,e,m,0,0,4.02
14,f,f,m,1,1,2.988
14,w,w,m,1,1,4.892
14,p,h,m,0,0,3.716
14,z,z,m,1,1,3.833
14,v,v,m,1,1,4.019
14,n,n,m,1,1,3.476
14,c,c,m,1,1,4.193
14,q,p,m,0,0,4.963
14,j,s,n,0,1,4.787
14,j,h,m,0,0,4.369
14,k,j,n,0,1,4.739
14,j,j,m,1,1,3.507
14,l,l,m,1,1,3.394
14,e,e,m,1,1,3.403
14,u,f,n,0,1,3.415
14,q,q,n,1,0,4.024
14,x,g,n,0,1,4.273
14,a,y,n,0,1,3.051
14,r,r,m,1,1,5.136
14,t,r,m,0,0,6.571
14,q,v,n,0,1,6.5
14,h,c,m,0,0,3.805
14,z,w,n,0,1,4.966
14,y,z,m,0,0,4.364
14,n,n,m,1,1,5.219
14,i,i,n,1,0,3.674
14,m,i,n,0,1,4.739
14,u,b,n,0,1,3.788
14,i,i,m,1,1,3.551
14,b,b,m,1,1,3.347
14,i,d,n,0,1,3.732
14,m,x,n,0,1,4.869
14,i,z,n,0,1,4.953
14,t,t,m,1,1,4.651
14,l,l,m,1,1,5.275
14,q,t,m,0,0,4.627
14,d,d,m,1,1,4.147
14,v,v,m,1,1,3.813
14,s,e,m,0,0,4.276
14,b,v,n,0,1,4.533
14,z,a,n,0,1,4.491
14,y,y,m,1,1,4.915
14,o,d,n,0,1,4.94
14,j,j,m,1,1,4.017
14,z,h,n,0,1,4.667
14,m,m,m,1,1,6.31
14,z,x,n,0,1,5.093
14,n,v,n,0,1,4.703
14,j,b,n,0,1,5.012
14,k,k,m,1,1,4.795
14,v,v,m,1,1,4.632
14,c,c,m,1,1,4.273
14,j,j,m,1,1,4.549
14,n,n,m,1,1,5.461
14,o,o,m,1,1,4.335
14,c,n,n,0,1,4.358
14,a,a,m,1,1,3.027
14,e,e,m,1,1,4.024
14,x,s,n,0,1,4.764
14,q,b,n,0,1,4.416
14,s,p,n,0,1,4.993
14,j,j,n,1,0,5.1
14,u,o,n,0,1,4.832
14,o,x,n,0,1,4.652
14,q,w,m,0,0,3.623
14,m,r,n,0,1,4.024
14,q,q,m,1,1,5.131
14,b,s,n,0,1,3.117
14,u,l,n,0,1,5.329
14,q,m,m,0,0,5.827
14,t,g,n,0,1,5.318
14,i,q,n,0,1,4.629
14,s,s,m,1,1,4.943
14,k,k,m,1,1,4.548
14,b,i,n,0,1,3.39
14,z,z,m,1,1,4.892
14,y,y,m,1,1,4.252
14,u,u,m,1,1,3.843
14,j,k,n,0,1,4.792
15,q,q,n,1,0,3.75
15,d,d,m,1,1,3.541
15,f,f,m,1,1,3.155
15,w,w,m,1,1,3.669
15,r,t,m,0,0,3.999
15,u,v,m,0,0,3.186
15,i,i,m,1,1,3.291
15,u,d,n,0,1,3.417
15,n,b,n,0,1,3.451
15,l,q,n,0,1,2.971
15,w,e,n,0,1,3.176
15,g,g,n,1,0,3.099
15,l,o,n,0,1,2.772
15,t,j,m,0,0,3.292
15,n,n,n,1,0,3.876
15,a,x,n,0,1,3.314
15,z,z,n,1,0,3.472
15,z,z,n,1,0,3.977
15,y,y,m,1,1,3.051
15,d,m,n,0,1,4.065
15,a,e,n,0,1,3.014
15,n,l,n,0,1,3.543
15,m,y,n,0,1,3.634
15,w,u,n,0,1,3.639
15,s,q,n,0,1,3.619
15,v,t,n,0,1,3.732
15,h,q,n,0,1,4.496
15,d,g,n,0,1,3.243
15,d,d,m,1,1,3.148
15,r,z,m,0,0,3.622
15,x,x,m,1,1,3.51
15,l,l,m,1,1,3.033
15,p,p,m,1,1,3.451
15,d,k,n,0,1,5.364
15,p,s,m,0,0,3.435
15,q,o,n,0,1,3.915
15,n,p,m,0,0,3.257
15,r,r,n,1,0,3.171
15,v,k,n,0,1,3.481
15,i,w,n,0,1,2.649
15,s,s,n,1,0,3.023
15,f,b,n,0,1,3.299
15,v,v,n,1,0,3.135
15,c,c,n,1,0,3.626
15,n,n,m,1,1,2.733
15,l,t,n,0,1,2.838
15,s,s,n,1,0,2.974
15,r,r,m,1,1,3.849
15,u,u,n,1,0,3.405
15,x,x,n,1,0,3.1
15,u,u,n,1,0,4.166
15,c,c,m,1,1,3.293
15,z,l,n,0,1,3.22
15,w,v,n,0,1,4.771
15,a,a,m,1,1,3.201
15,w,p,m,0,0,2.496
15,q,q,m,1,1,3.943
15,c,c,m,1,1,2.411
15,y,y,m,1,1,3.78
15,h,h,m,1,1,3.7
15,v,j,n,0,1,3.459
15,p,d,n,0,1,3.293
15,h,t,n,0,1,4.122
15,j,j,m,1,1,3.123
15,s,s,m,1,1,2.485
15,o,o,n,1,0,3.082
15,u,u,n,1,0,3.851
15,h,h,m,1,1,3.156
15,r,g,n,0,1,4.182
15,n,n,n,1,0,2.686
15,j,j,n,1,0,2.515
15,g,d,m,0,0,4.258
15,m,m,n,1,0,3.579
15,w,w,m,1,1,4.316
15,n,n,m,1,1,3.915
15,k,a,n,0,1,2.359
15,z,z,n,1,0,3.62
15,l,y,n,0,1,3.299
15,j,j,m,1,1,3.604
15,w,s,n,0,1,3.698
15,f,k,n,0,1,3.443
15,f,x,n,0,1,3.588
15,t,t,n,1,0,3.82
15,g,f,m,0,0,2.827
15,t,d,m,0,0,3.203
15,n,h,n,0,1,3.047
15,j,j,n,1,0,3.628
15,p,t,m,0,0,3.231
15,t,t,m,1,1,3.371
15,t,t,m,1,1,3.844
15,l,l,n,1,0,3.317
15,k,k,m,1,1,4.337
15,o,o,n,1,0,2.651
15,e,e,m,1,1,3.027
15,d,d,n,1,0,3.074
15,e,e,m,1,1,2.281
15,g,g,n,1,0,4.052
15,r,r,n,1,0,3.891
15,a,n,n,0,1,3.475
15,q,q,n,1,0,3.404
15,i,i,m,1,1,3.214
15,f,w,n,0,1,3.154
15,a,a,n,1,0,2.697
15,c,c,m,1,1,3.316
15,d,i,n,0,1,3.7
15,p,p,n,1,0,3.044
15,j,i,n,0,1,3.021
15,v,v,n,1,0,3.24
15,j,e,n,0,1,3.411
15,a,u,n,0,1,3.123
15,v,v,m,1,1,3.195
15,x,x,n,1,0,2.818
15,a,a,m,1,1,3.202
15,n,u,n,0,1,3.52
15,s,j,n,0,1,3.724
15,b,b,m,1,1,3.118
15,v,v,m,1,1,3.096
15,d,y,n,0,1,2.963
15,h,h,n,1,0,4.236
15,k,p,n,0,1,2.171
15,n,g,n,0,1,2.563
15,z,z,n,1,0,3.379
15,y,q,n,0,1,3.563
15,m,m,n,1,0,3.524
15,c,g,n,0,1,3.425
15,r,c,n,0,1,2.977
15,i,i,m,1,1,2.787
15,r,q,m,0,0,3.988
15,b,b,m,1,1,3.124
15,e,e,m,1,1,3.302
15,u,n,n,0,1,4.855
15,a,t,n,0,1,2.915
15,z,n,n,0,1,3.387
15,s,r,n,0,1,4.915
15,t,t,m,1,1,2.867
15,k,v,n,0,1,2.847
15,b,n,n,0,1,3.3
15,h,u,n,0,1,3.56
15,e,u,n,0,1,3.199
15,w,w,m,1,1,3.308
15,u,a,n,0,1,3.139
15,q,d,n,0,1,3.287
15,h,h,n,1,0,5.9
15,j,w,m,0,0,2.994
15,k,k,n,1,0,4.412
15,k,q,n,0,1,3.011
15,q,y,n,0,1,1.979
15,u,g,n,0,1,2.127
15,a,a,m,1,1,2.145
15,e,d,n,0,1,2.147
15,c,c,m,1,1,2.117
15,s,c,n,0,1,1.989
15,g,g,n,1,0,2.347
15,p,p,n,1,0,3.459
15,g,q,m,0,0,4.569
15,o,u,n,0,1,2.691
15,r,r,n,1,0,4.436
15,m,c,n,0,1,2.379
15,w,k,n,0,1,4.414
15,b,b,m,1,1,3.291
15,f,f,m,1,1,3.392
15,u,y,n,0,1,3.354
15,g,g,m,1,1,2.814
15,a,v,n,0,1,2.163
15,f,f,n,1,0,2.984
15,d,j,n,0,1,4.343
15,z,m,m,0,0,2.763
15,a,g,n,0,1,2.675
15,w,m,n,0,1,3.084
15,d,h,n,0,1,3.179
15,l,l,m,1,1,2.894
15,t,q,m,0,0,3.855
15,x,u,n,0,1,2.832
15,u,z,n,0,1,3.596
15,d,d,m,1,1,3.296
15,l,w,n,0,1,2.899
15,s,s,m,1,1,2.804
15,x,m,m,0,0,4.857
15,b,b,m,1,1,2.678
15,l,l,m,1,1,2.869
15,x,w,n,0,1,3.945
15,q,q,n,1,0,5.156
15,e,e,n,1,0,4.747
15,l,l,m,1,1,3.325
15,d,r,n,0,1,2.923
15,z,j,n,0,1,2.99
15,y,y,m,1,1,6.019
15,m,m,n,1,0,4.23
15,d,d,m,1,1,3.654
15,f,f,n,1,0,3.717
15,s,s,n,1,0,3.461
15,g,g,m,1,1,3.407
15,h,h,m,1,1,3.634
15,m,m,m,1,1,3.928
15,d,l,n,0,1,3.379
15,p,c,n,0,1,5.912
15,q,q,m,1,1,3.631
15,p,p,m,1,1,5.517
15,y,e,m,0,0,4.061
15,u,u,m,1,1,2.562
15,g,t,m,0,0,2.87
15,o,s,n,0,1,3.486
15,e,e,m,1,1,2.636
15,f,z,n,0,1,3.261
15,n,n,n,1,0,4.173
15,h,f,m,0,0,3.651
15,j,v,m,0,0,4.057
15,j,a,n,0,1,2.37
15,u,u,m,1,1,3.393
15,f,i,n,0,1,3.428
15,o,o,n,1,0,7.179
15,y,y,m,1,1,2.982
15,o,o,m,1,1,4.19
15,f,f,m,1,1,2.843
15,i,i,m,1,1,3.963
15,k,k,m,1,1,3.203
15,r,j,m,0,0,3.238
15,m,m,m,1,1,2.866
15,k,t,n,0,1,2.188
15,g,a,n,0,1,4.099
15,t,l,n,0,1,4.632
15,k,k,m,1,1,2.127
15,v,n,n,0,1,3.546
15,b,b,m,1,1,3.069
15,w,i,n,0,1,2.893
15,x,x,n,1,0,3.028
15,z,d,n,0,1,3.191
15,i,y,m,0,0,5.959
15,o,o,n,1,0,3.624
15,k,k,n,1,0,3.649
15,r,r,n,1,0,3.267
15,a,a,n,1,0,3.387
15,c,k,n,0,1,3.112
15,d,p,m,0,0,2.54
15,y,y,m,1,1,2.199
15,d,u,m,0,0,2.123
15,n,k,n,0,1,3.188
15,i,i,m,1,1,3.387
15,x,r,m,0,0,2.641
15,j,j,n,1,0,9.34
15,y,g,n,0,1,4.166
15,w,w,n,1,0,4.188
15,f,d,n,0,1,3.6
15,x,x,n,1,0,2.99
15,b,e,n,0,1,3.078
15,z,z,n,1,0,3.125
15,p,p,n,1,0,3.163
15,s,y,n,0,1,3.828
15,l,d,n,0,1,3.263
15,s,u,n,0,1,3.081
15,w,w,n,1,0,4.18
15,i,s,n,0,1,3.817
15,t,t,m,1,1,3.443
15,p,y,m,0,0,4.652
15,h,d,m,0,0,3.451
15,k,r,n,0,1,5.095
15,i,c,m,0,0,3.016
15,v,v,n,1,0,4.51
16,h,s,n,0,1,4.235
16,l,l,m,1,1,3.751
16,y,w,m,0,0,3.405
16,o,m,m,0,0,2.682
16,i,q,n,0,1,4.652
16,d,d,m,1,1,3.069
16,c,k,n,0,1,2.816
16,x,x,m,1,1,3.668
16,o,o,n,1,0,3.379
16,s,u,m,0,0,3.582
16,m,m,m,1,1,4.134
16,j,p,n,0,1,3.116
16,i,m,m,0,0,3.892
16,r,r,m,1,1,2.589
16,p,p,m,1,1,3.629
16,t,w,n,0,1,3.187
16,o,s,m,0,0,2.692
16,o,r,m,0,0,3.083
16,f,p,n,0,1,1.982
16,x,x,n,1,0,2.543
16,p,a,n,0,1,2.295
16,m,m,m,1,1,2.641
16,i,d,n,0,1,2.154
16,j,j,m,1,1,2.375
16,b,b,n,1,0,1.701
16,j,o,m,0,0,2.641
16,r,l,m,0,0,2.281
16,t,a,n,0,1,2.61
16,m,i,n,0,1,3.845
16,q,k,m,0,0,2.053
16,n,s,m,0,0,2.941
16,r,v,m,0,0,3.027
16,s,s,n,1,0,2.787
16,t,t,m,1,1,2.019
16,m,w,n,0,1,2.651
16,s,s,m,1,1,2.387
16,q,v,m,0,0,2.535
16,v,v,m,1,1,2.12
16,a,a,m,1,1,1.931
16,k,l,n,0,1,2.172
16,h,h,n,1,0,2.716
16,f,i,m,0,0,2.181
16,k,k,m,1,1,2.051
16,u,u,m,1,1,2.003
16,t,t,n,1,0,3.115
16,y,y,n,1,0,3.287
16,q,q,m,1,1,2.9
16,g,n,m,0,0,2.458
16,t,m,m,0,0,2.462
16,r,i,n,0,1,2.266
16,v,v,m,1,1,2.104
16,y,m,m,0,0,2.491
16,o,o,n,1,0,1.582
16,d,d,m,1,1,1.863
16,m,m,n,1,0,2.174
16,f,f,m,1,1,2.169
16,i,e,m,0,0,2.763
16,n,n,n,1,0,2.644
16,l,l,m,1,1,2.285
16,k,a,n,0,1,2.314
16,f,c,m,0,0,2.182
16,d,f,n,0,1,1.969
16,p,p,m,1,1,2.172
16,j,j,n,1,0,2.587
16,t,t,m,1,1,2.505
16,q,a,n,0,1,3.555
16,s,n,m,0,0,2.835
16,h,h,m,1,1,3.226
16,l,q,n,0,1,2.542
16,e,f,m,0,0,3.149
16,g,j,n,0,1,2.864
16,w,l,m,0,0,3.631
16,n,a,n,0,1,3.152
16,t,z,n,0,1,2.675
16,v,v,m,1,1,2.74
16,i,i,m,1,1,2.385
16,m,m,n,1,0,2.635
16,p,q,n,0,1,2.98
16,c,c,m,1,1,2.307
16,p,p,n,1,0,2.643
16,s,s,n,1,0,2.757
16,v,c,m,0,0,2.863
16,e,c,m,0,0,3.429
16,i,i,n,1,0,2.583
16,k,b,m,0,0,2.739
16,e,p,n,0,1,2.899
16,w,b,n,0,1,2.555
16,u,u,m,1,1,2.903
16,p,l,m,0,0,3.695
16,n,n,m,1,1,3.367
16,o,o,n,1,0,1.775
16,i,i,m,1,1,2.464
16,w,h,n,0,1,3.619
16,t,e,n,0,1,2.612
16,c,c,m,1,1,2.054
16,i,n,n,0,1,1.883
16,x,x,n,1,0,3.541
16,j,j,m,1,1,2.335
16,y,y,m,1,1,1.875
16,u,u,m,1,1,2.51
16,h,h,n,1,0,2.083
16,c,c,n,1,0,3.003
16,h,h,n,1,0,3.473
16,c,c,m,1,1,2.544
16,j,b,n,0,1,2.46
16,j,v,m,0,0,2.819
16,o,o,n,1,0,2.708
16,q,m,m,0,0,1.971
16,j,u,n,0,1,2.581
16,z,w,m,0,0,2.881
16,p,p,m,1,1,2.598
16,g,g,n,1,0,2.435
16,u,v,n,0,1,2.643
16,c,y,n,0,1,2.115
16,v,v,m,1,1,1.921
16,j,a,n,0,1,2.416
16,y,q,m,0,0,2.834
16,e,e,n,1,0,3.025
16,g,g,m,1,1,2.111
16,a,a,m,1,1,2.348
16,d,d,m,1,1,2.101
16,b,b,n,1,0,2.219
16,e,e,n,1,0,2.963
16,x,s,n,0,1,2.579
16,u,l,m,0,0,1.98
16,k,x,m,0,0,2.179
16,o,f,n,0,1,2.5
16,n,n,m,1,1,1.868
16,r,s,n,0,1,2.22
16,i,p,n,0,1,2.723
16,w,w,m,1,1,2.131
16,w,w,m,1,1,2.804
16,e,e,n,1,0,1.859
16,u,n,m,0,0,2.005
16,k,k,m,1,1,1.932
16,a,c,m,0,0,2.185
16,f,f,m,1,1,2.006
16,p,u,n,0,1,2.179
16,w,x,m,0,0,2.265
16,g,g,n,1,0,2.374
16,k,o,m,0,0,2.257
16,f,f,m,1,1,2.107
16,m,m,n,1,0,2.099
16,t,o,m,0,0,2.317
16,f,f,n,1,0,2.659
16,q,q,m,1,1,2.131
16,a,j,n,0,1,2.51
16,m,b,n,0,1,2.721
16,a,a,n,1,0,3.251
16,b,b,n,1,0,2.045
16,v,v,n,1,0,2.917
16,o,o,m,1,1,4.506
16,l,l,n,1,0,3.283
16,c,e,m,0,0,2.891
16,x,n,n,0,1,2.729
16,x,d,m,0,0,2.962
16,o,d,n,0,1,3.216
16,w,w,m,1,1,2.906
16,d,d,n,1,0,3.113
16,w,q,n,0,1,2.726
16,l,m,n,0,1,3.068
16,h,h,m,1,1,2.044
16,r,r,n,1,0,1.964
16,i,l,n,0,1,2.383
16,z,z,m,1,1,3.677
16,t,f,m,0,0,5.205
16,n,d,n,0,1,2.088
16,o,k,m,0,0,2.443
16,m,x,m,0,0,3.288
16,f,u,n,0,1,3.392
16,l,p,m,0,0,2.193
16,x,x,m,1,1,3.748
16,y,y,n,1,0,2.793
16,i,i,n,1,0,3.644
16,z,z,m,1,1,2.851
16,n,n,n,1,0,2.466
16,k,k,m,1,1,2.613
16,t,t,n,1,0,2.587
16,l,e,m,0,0,2.488
16,f,r,m,0,0,4.493
16,l,l,m,1,1,3.098
16,z,z,m,1,1,2.887
16,c,j,n,0,1,3.806
16,y,e,n,0,1,2.814
16,p,w,m,0,0,3.28
16,n,n,m,1,1,2.688
16,m,n,n,0,1,3.168
16,z,z,m,1,1,3.915
16,p,f,n,0,1,3.742
16,p,p,m,1,1,2.248
16,t,g,n,0,1,1.951
16,w,j,m,0,0,1.827
16,c,m,n,0,1,2.477
16,b,k,m,0,0,2.411
16,y,y,m,1,1,2.596
16,b,g,m,0,0,3.915
16,y,j,m,0,0,2.782
16,q,q,m,1,1,5.539
16,n,e,n,0,1,3.463
16,j,j,m,1,1,3.279
16,l,y,n,0,1,3.128
16,l,l,m,1,1,4.039
16,b,m,n,0,1,2.671
16,j,j,n,1,0,2.228
16,s,e,m,0,0,2.119
16,k,k,n,1,0,2.445
16,w,w,n,1,0,2.91
16,g,g,m,1,1,2.493
16,j,y,n,0,1,2.796
16,q,q,m,1,1,1.54
16,s,s,m,1,1,1.876
16,v,p,n,0,1,1.868
16,j,e,m,0,0,2.688
16,b,b,m,1,1,2.395
16,a,t,n,0,1,2.26
16,u,u,m,1,1,2.156
16,q,q,n,1,0,2.266
16,y,n,n,0,1,2.491
16,i,i,m,1,1,3.921
16,x,r,m,0,0,2.627
16,n,i,m,0,0,3.788
16,m,r,n,0,1,2.803
16,z,z,m,1,1,2.403
16,e,b,m,0,0,2.43
16,a,a,m,1,1,2.851
16,s,s,n,1,0,2.026
16,r,r,m,1,1,1.743
16,f,f,m,1,1,1.668
16,q,y,m,0,0,2.819
16,j,q,n,0,1,2.159
16,r,r,n,1,0,1.994
16,k,s,m,0,0,2.081
16,a,a,m,1,1,2.45
16,x,x,m,1,1,5.092
16,i,t,n,0,1,3.558
16,n,h,m,0,0,3.068
16,c,c,n,1,0,3.027
16,b,n,m,0,0,4.005
16,a,h,n,0,1,2.736
16,y,y,n,1,0,2.184
16,n,l,n,0,1,2.248
16,b,o,n,0,1,2.372
16,g,g,n,1,0,4.496
16,w,w,m,1,1,3.776
16,t,t,m,1,1,2.671
16,k,k,m,1,1,2.307
16,g,y,n,0,1,2.491
16,e,e,n,1,0,3.019
16,p,x,m,0,0,2.851
16,q,e,n,0,1,2.339
16,j,i,n,0,1,2.924
16,q,i,n,0,1,2.08
16,b,b,m,1,1,1.756
16,u,u,m,1,1,1.538
16,m,c,m,0,0,2.061
16,p,b,m,0,0,2.347
16,s,q,n,0,1,2.337
16,e,e,m,1,1,3.025
16,r,r,m,1,1,4.588
16,d,d,m,1,1,2.291
17,j,j,m,1,1,6.293
17,s,s,m,1,1,6.884
17,g,g,m,1,1,8.464
17,c,n,n,0,1,4.528
17,v,v,m,1,1,7.383
17,c,c,m,1,1,4.036
17,t,b,n,0,1,6.951
17,y,k,n,0,1,3.419
17,g,g,m,1,1,3.084
17,g,p,n,0,1,4.517
17,g,o,m,0,0,4.107
17,h,c,n,0,1,5.179
17,q,q,m,1,1,3.843
17,r,r,m,1,1,3.87
17,r,r,m,1,1,3.867
17,a,a,m,1,1,2.835
17,s,s,n,1,0,4.82
17,t,k,n,0,1,5.232
17,g,k,n,0,1,3.108
17,e,e,m,1,1,3.852
17,i,u,n,0,1,5.616
17,i,j,m,0,0,7.664
17,p,h,m,0,0,4.433
17,k,n,n,0,1,3.011
17,g,e,n,0,1,3.784
17,h,h,m,1,1,5.011
17,s,f,m,0,0,8.883
17,g,s,m,0,0,6.927
17,i,i,m,1,1,2.955
17,e,m,n,0,1,2.452
17,a,s,n,0,1,2.503
17,g,g,m,1,1,2.723
17,d,d,m,1,1,2.767
17,h,h,m,1,1,3.139
17,v,r,n,0,1,4.926
17,h,a,n,0,1,2.979
17,e,e,m,1,1,2.691
17,g,g,m,1,1,3.035
17,f,n,n,0,1,2.731
17,p,p,m,1,1,3.211
17,n,n,m,1,1,3.667
17,f,g,m,0,0,4.459
17,t,r,n,0,1,4.734
17,u,y,n,0,1,3.418
17,l,l,m,1,1,3.973
17,n,u,m,0,0,3.731
17,x,x,m,1,1,3.185
17,m,m,m,1,1,2.705
17,a,m,n,0,1,3.251
17,y,s,n,0,1,4.021
17,e,e,m,1,1,3.374
17,x,x,m,1,1,3.175
17,v,y,n,0,1,5.249
17,c,c,m,1,1,3.902
17,t,x,n,0,1,4.307
17,e,l,n,0,1,2.965
17,t,t,m,1,1,3.527
17,u,u,n,1,0,4.139
17,x,w,m,0,0,3.315
17,z,j,n,0,1,4.056
17,y,i,n,0,1,3.227
17,q,q,m,1,1,3.21
17,x,x,n,1,0,4.393
17,x,i,n,0,1,2.925
17,b,b,m,1,1,3.195
17,u,u,m,1,1,3.992
17,w,w,m,1,1,3.881
17,e,j,n,0,1,3.485
17,n,x,m,0,0,3.547
17,a,a,m,1,1,3.02
17,c,g,n,0,1,3.163
17,s,s,m,1,1,7.467
17,y,y,m,1,1,2.787
17,f,f,m,1,1,2.788
17,p,j,n,0,1,3.549
17,h,f,m,0,0,3.235
17,d,o,n,0,1,3.12
17,y,h,n,0,1,3.838
17,p,k,m,0,0,4.276
17,f,x,n,0,1,2.889
17,r,g,m,0,0,2.718
17,d,j,m,0,0,2.909
17,w,f,m,0,0,3.77
17,f,f,m,1,1,2.549
17,v,j,n,0,1,2.751
17,j,h,m,0,0,2.671
17,l,f,n,0,1,3.181
17,h,y,n,0,1,2.942
17,q,z,n,0,1,3.032
17,q,c,n,0,1,3.163
17,c,c,m,1,1,2.995
17,y,y,m,1,1,2.731
17,j,j,m,1,1,3.324
17,a,a,m,1,1,2.037
17,o,o,m,1,1,2.784
17,o,o,n,1,0,2.607
17,q,q,m,1,1,2.729
17,z,z,m,1,1,3.217
17,i,c,m,0,0,2.261
17,m,m,m,1,1,2.505
17,e,e,m,1,1,2.355
17,k,i,n,0,1,5.011
